Code,Label,Year,Number of non-employing businesses,Number of employing businesses: 1-4 employees,Number of employing businesses: 5-19 employees,Number of employing businesses: 20 or more employees,Total number of businesses,Number of non-employing business entries,Number of employing business entries: 1-4 employees,Number of employing business entries: 5-19 employees,Number of employing business entries: 20 or more employees,Total number of business entries,Number of non-employing business exits,Number of employing business exits: 1-4 employees,Number of employing business exits: 5-19 employees,Number of employing business exits: 20 or more employees,Total number of business exits,"Agriculture, forestry and fishing (no.)",Mining (no.),Manufacturing (no.),"Electricity, gas, water and waste services (no.)",Construction (no.),Wholesale trade (no.),Retail trade (no.),Accommodation and food services (no.),"Transport, postal and warehousing (no.)",Information media and telecommunications (no.),Financial and insurance services (no.),"Rental, hiring and real estate services (no.)","Professional, scientific and technical services (no.)",Administrative and support services (no.),Public administration and safety (no.),Education and training (no.),Health care and social assistance (no.),Arts and recreation services (no.),Other services (no.),Currently unknown (no.),Number of businesses with turnover of zero to less than $50k,Number of businesses with turnover of $50k to less than $200k,Number of businesses with turnover of $200k to less than $2m,Number of businesses with turnover of $2m to less than $5m,Number of businesses with turnover of $5m to less than $10m,Number of businesses with turnover of $10m or more,Number of business entries with turnover of zero to less than $50k,Number of business entries with turnover of $50k to less than $200k,Number of business entries with turnover of $200k to less than $2m,Number of business entries with turnover of $2m to less than $5m,Number of business entries with turnover of $5m to less than $10m,Number of business entries with turnover of $10m or more,Number of business exits with turnover of zero to less than $50k,Number of business exits with turnover of $50k to less than $200k,Number of business exits with turnover of $200k to less than $2m,Number of business exits with turnover of $2m to less than $5m,Number of business exits with turnover of $5m to less than $10m,Number of business exits with turnover of $10m or more,Private sector houses (no.),Private sector dwellings excluding houses (no.),Total private sector dwelling units (no.),Total dwelling units (no.),Value of private sector houses ($m),Value of private sector dwellings excluding houses ($m),Total value of private sector dwelling units ($m),Value of residential building ($m),Value of non-residential building ($m),Value of total building ($m),Number of established house transfers (no.),Median price of established house transfers ($),Number of attached dwelling transfers (no.),Median price of attached dwelling transfers ($),Debtors entering business related personal insolvencies (no.),Debtors entering non-business related personal insolvencies (no.),Total debtors entering personal insolvencies (no.),Managers (no.),Professionals (no.),Technicians and trades workers (no.),Community and personal service workers (no.),Clerical and administrative workers (no.),Sales workers (no.),Machinery operators and drivers (no.),Labourers (no.),Debtors with other or unknown occupations (no.),Area of holding - total area (ha),Dairy cattle - total (no.),Meat cattle - total (no.),Sheep and lambs - total (no.),Pigs - total (no.),Meat chickens - total (no.),Broadacre crops - total area (ha),Vegetables - total area (ha),Orchard fruit trees and nut trees (produce intended for sale) - total area - (ha),Agricultural production - total gross value ($m),Crops - total gross value ($m),Livestock slaughtered and other disposals - total gross value ($m),"Agriculture, forestry and fishing (%)",Mining (%),Manufacturing (%),"Electricity, gas, water and waste services (%)",Construction (%),Wholesale trade (%),Retail trade (%),Accommodation and food services (%),"Transport, postal and warehousing (%)",Information media and telecommunications (%),Financial and insurance services (%),"Rental, hiring and real estate services (%)","Professional, scientific and technical services (%)",Administrative and support services (%),Public administration and safety (%),Education and training (%),Health care and social assistance (%),Arts and recreation services (%),Other services (%),Industry of employment inadequately described or not stated (%),Total persons employed aged 15 years and over (no.),Houses - additions (no.),Houses - removals (no.),Houses - total (no.),Townhouses - additions (no.),Townhouses - removals (no.),Townhouses - total (no.),Apartments - additions (no.),Apartments - removals (no.),Apartments - total (no.),Total dwelling additions (no.),Total dwelling removals (no.),Total dwellings (no.)
407021150,Grant,2020.0,498,193,65,17,773,-,-,-,-,-,-,-,-,-,-,446,3,21,-,73,14,17,19,23,-,8,74,23,11,-,3,13,7,19,-,171,259,291,35,10,7,-,-,-,-,-,-,-,-,-,-,-,-,24,-,24,24,9,-,9,11,13,24,82,287500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,8,2599,-,-,30,-,-,10,24,8,2707
407021150,Grant,2021.0,504,207,57,17,785,40,14,-,-,55,34,8,3,-,45,451,-,20,-,88,13,16,20,21,-,10,74,20,11,-,3,11,7,19,-,180,238,314,39,6,8,21,25,9,-,-,-,13,20,11,-,-,-,39,-,39,39,15,-,15,16,6,22,103,305000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92187.6,34033.8,66978.3,222637.7,15052.6,-,1414.5,1035,-,206.9,62.1,53.4,25.3,0.6,7.6,1,9.6,3.4,7.3,5.2,4.1,0.3,1.1,1.1,2.7,2,3.9,6.3,10,1.3,3.6,4.1,2711,24,5,2618,-,-,30,-,-,10,24,5,2726
407021150,Grant,2022.0,523,200,54,20,790,54,9,3,-,62,52,10,5,3,63,447,3,17,3,91,15,17,19,28,-,13,77,25,10,-,3,10,6,23,-,165,255,314,40,12,10,20,22,21,3,3,-,12,19,14,-,-,-,24,-,24,24,8,-,8,9,27,36,117,380000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,2,2643,-,-,30,-,-,10,27,2,2751
407021150,Grant,2023.0,539,206,53,14,812,58,15,-,-,73,43,5,5,3,54,449,3,18,3,95,17,13,21,24,3,9,75,24,12,-,3,16,7,24,-,146,278,324,44,11,9,24,32,16,-,-,3,28,10,11,-,3,3,31,-,31,31,11,-,11,13,11,25,97,400000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
407021150,Grant,2024.0,538,219,41,11,809,46,14,-,3,58,48,7,3,-,60,449,3,15,3,106,18,13,22,28,-,6,67,20,13,-,3,14,8,18,-,161,286,305,44,7,9,12,31,9,-,-,-,20,23,14,-,-,3,27,2,29,29,14,1,14,16,5,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
407021151,Kingston - Robe,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.8,0.4,5.2,0.2,8.7,3.2,9.8,10.6,2.6,0.5,1.1,1.1,1.6,1.4,2.6,5.9,7.1,0.6,2.8,2,1784,-,-,-,-,-,-,-,-,-,-,-,-
407021151,Kingston - Robe,2016.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.3,0.6,5,0.2,8.7,2.3,11.3,10.3,2.5,0.2,0.6,1.3,2.1,2,2.9,5.7,7.5,0.2,3.4,3.1,1730,-,-,-,-,-,-,-,-,-,-,-,-
407021151,Kingston - Robe,2017.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,2,3082,-,-,100,-,-,36,39,2,3223
407021151,Kingston - Robe,2018.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,325000,8,220000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,5,3112,-,-,100,-,-,36,35,5,3253
407021151,Kingston - Robe,2019.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,3,39,39,13,1,13,14,3,16,82,280000,8,255000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,4,3144,3,1,102,-,-,36,39,5,3287
407021151,Kingston - Robe,2020.0,404,162,84,14,664,-,-,-,-,-,-,-,-,-,-,301,-,19,3,70,14,31,40,14,3,11,102,17,13,-,-,6,3,23,-,132,208,287,25,8,4,-,-,-,-,-,-,-,-,-,-,-,-,43,-,43,43,15,-,15,16,3,19,98,300000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,8,3169,1,-,103,-,-,36,34,8,3313
407021151,Kingston - Robe,2021.0,424,167,84,16,691,45,9,-,-,56,32,3,3,-,36,313,-,17,-,66,12,33,42,16,-,12,115,17,14,-,-,6,-,24,-,135,222,289,34,6,5,18,24,11,3,-,-,13,16,7,-,-,-,68,2,70,70,23,1,23,25,2,26,156,350000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,394994.1,385.1,117918.5,741101.6,154.5,-,5491.2,55.8,-,123.7,25.7,71.9,27.4,0.7,5.3,0.4,9.7,1.9,9.7,11.1,3.4,0.2,0.9,0.7,2.3,2.7,3.5,5.4,8.1,0.8,2.5,3.4,1812,43,1,3211,-,-,103,-,-,36,43,1,3355
407021151,Kingston - Robe,2022.0,409,194,77,14,692,41,17,3,-,63,62,7,-,3,73,317,-,21,-,74,14,37,38,19,-,15,89,18,12,-,-,9,5,23,-,137,198,310,37,5,3,16,21,19,3,-,-,15,17,4,-,-,-,57,4,61,61,21,1,22,23,2,25,124,377500,8,450000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,5,3252,-,-,103,-,-,36,46,5,3396
407021151,Kingston - Robe,2023.0,430,176,80,14,700,58,13,-,-,72,52,11,7,-,70,318,-,16,-,77,15,27,40,18,3,12,103,22,12,-,-,9,3,24,-,126,224,306,34,8,3,12,39,21,-,-,-,34,14,20,3,-,-,70,7,77,77,34,2,36,37,2,40,98,469000,11,420000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
407021151,Kingston - Robe,2024.0,446,180,73,14,714,56,13,-,-,68,48,11,3,-,57,303,-,20,-,84,15,28,43,20,-,16,122,17,13,-,-,13,5,28,-,133,220,327,30,7,3,21,28,23,3,-,-,22,24,14,-,-,-,41,-,41,41,17,-,17,18,2,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
407021152,Millicent,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.4,1.2,18.9,1,9,2.5,12.4,6.1,2.8,0.6,1,0.6,2.2,2.9,4.2,7.1,12,0.3,4.7,2.3,2175,-,-,-,-,-,-,-,-,-,-,-,-
407021152,Millicent,2016.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.2,0.7,14.1,0.8,9.2,2.3,11.2,5.2,3,0.6,0.8,0.7,2.6,3.7,4.9,7.6,13.9,0.4,4.2,3.8,2032,-,-,-,-,-,-,-,-,-,-,-,-
407021152,Millicent,2017.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,1,2180,-,-,238,-,-,143,11,1,2561
407021152,Millicent,2018.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,175000,11,110000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,1,2192,-,-,238,-,-,143,13,1,2573
407021152,Millicent,2019.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,10,10,3,-,3,3,1,4,83,182500,11,95000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,1,2203,-,-,238,-,-,143,12,1,2584
407021152,Millicent,2020.0,239,107,54,7,407,-,-,-,-,-,-,-,-,-,-,138,3,11,-,57,11,32,18,12,3,9,42,26,7,-,-,15,4,18,3,72,131,175,17,8,4,-,-,-,-,-,-,-,-,-,-,-,-,8,-,8,8,2,-,2,2,2,4,106,190000,17,150500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,1,2208,-,-,238,-,-,143,6,1,2589
407021152,Millicent,2021.0,239,120,49,8,416,26,13,-,-,39,20,5,3,-,26,133,3,15,-,62,13,33,17,14,-,9,46,24,6,-,-,15,4,19,3,71,143,171,20,5,6,14,18,7,-,-,-,13,6,7,-,-,-,17,-,17,17,5,-,5,5,3,8,165,215250,25,174000,-,-,-,-,-,-,-,-,-,-,-,-,27943.7,70.7,27143.6,38096.7,-,-,4623.8,46.8,-,21.4,10.6,9.4,8.4,0.7,14.8,1.3,10,2.5,11,4.7,2.3,0.4,0.6,0.6,2.7,3.1,5,7.7,15.2,0.6,4.4,4.1,2070,11,2,2217,-,-,238,-,-,143,11,2,2598
407021152,Millicent,2022.0,255,111,49,4,423,28,10,3,-,43,17,12,3,-,31,130,-,16,-,60,15,35,18,18,-,4,45,23,8,-,3,18,5,16,-,77,129,185,19,9,6,17,15,11,3,-,-,13,7,10,-,-,-,17,-,17,17,5,-,5,6,2,8,128,285000,28,175000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,1,2229,-,-,238,-,-,143,13,1,2610
407021152,Millicent,2023.0,267,108,53,8,436,26,13,3,-,41,31,9,4,-,44,133,-,13,3,68,14,32,20,14,-,10,49,25,12,-,3,14,5,21,-,71,148,182,17,10,8,13,19,9,-,-,-,18,9,15,-,-,-,15,-,15,15,7,-,7,8,8,16,103,340000,12,220000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
407021152,Millicent,2024.0,256,115,43,13,429,30,8,-,-,40,37,8,-,-,47,121,-,12,-,64,12,34,23,20,-,5,50,28,14,-,3,17,5,18,3,67,161,172,14,4,8,17,14,13,-,-,-,21,15,12,-,-,-,6,-,6,6,2,-,2,3,9,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
407021154,Naracoorte,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.1,0.4,15.9,1.2,7.1,4.1,14.9,5.9,3.7,0.6,2.2,1.3,2.8,2.6,3.9,5.4,9.5,0.4,4.3,2,2844,-,-,-,-,-,-,-,-,-,-,-,-
407021154,Naracoorte,2016.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.5,0.5,15,1.1,7.1,3.8,12.4,4.8,3.4,0.6,1.9,0.9,3.6,2.5,3.2,5.6,10,0.5,4.1,4.1,2938,-,-,-,-,-,-,-,-,-,-,-,-
407021154,Naracoorte,2017.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,2,2634,-,-,179,-,-,5,24,2,2818
407021154,Naracoorte,2018.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,108,210000,5,165000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,3,2647,-,-,179,-,-,5,16,3,2831
407021154,Naracoorte,2019.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,15,15,6,-,6,7,2,9,113,267000,8,237000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,2,2660,-,-,179,-,-,5,15,2,2844
407021154,Naracoorte,2020.0,425,201,122,21,769,-,-,-,-,-,-,-,-,-,-,255,-,19,5,78,22,54,26,34,-,28,98,41,41,3,4,17,6,36,-,153,219,323,50,15,9,-,-,-,-,-,-,-,-,-,-,-,-,13,-,13,13,4,-,4,5,6,10,90,260000,8,237500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,2,2669,-,-,179,-,-,5,11,2,2853
407021154,Naracoorte,2021.0,442,201,127,18,788,57,15,3,-,75,46,8,3,-,57,250,-,19,6,84,23,49,24,35,-,30,110,43,42,3,5,22,6,35,-,166,203,342,55,11,11,28,17,30,-,-,-,23,17,15,-,-,-,36,-,36,36,14,-,14,15,11,26,178,241500,8,230000,-,-,-,-,-,-,-,-,-,-,-,-,21228,-,4422.2,100711.5,-,-,1141.9,-,-,12,2.7,5.8,14.4,0.5,17,1.3,6.9,3.4,11.2,5.8,3.2,0.6,1.5,0.6,3.4,2.5,3,6.7,10.1,0.5,3.3,4.3,3045,16,2,2683,-,-,179,-,-,5,16,2,2867
407021154,Naracoorte,2022.0,453,216,119,14,805,70,23,9,-,96,58,12,11,-,77,240,-,21,5,94,21,47,31,33,-,35,120,45,35,3,3,28,5,37,-,159,242,329,50,13,14,31,38,23,-,-,-,20,20,15,-,3,-,19,-,19,19,6,-,6,7,4,11,157,276750,8,265000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,1,2710,-,-,179,-,-,5,28,1,2894
407021154,Naracoorte,2023.0,461,203,113,14,791,54,14,4,-,73,52,11,9,3,74,230,-,22,3,90,21,48,27,33,-,35,127,42,38,3,3,23,6,38,-,154,228,327,53,14,15,23,33,16,-,-,-,26,24,18,3,-,-,17,-,17,17,7,-,7,7,3,11,116,360000,7,310000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
407021154,Naracoorte,2024.0,480,191,111,14,798,70,18,3,3,89,59,12,7,-,80,220,-,22,3,89,20,50,34,35,-,40,130,35,36,3,4,26,9,37,-,141,239,333,56,14,13,31,37,23,3,3,-,41,23,12,-,-,-,9,-,9,9,3,-,3,4,4,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
407021155,Naracoorte Surrounds,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.8,0.2,6.3,0.3,3.8,2.9,5.5,2.9,3.5,0.3,1.1,0.4,2.1,1.6,3.1,4.9,6.8,0.8,1.6,0.9,1397,-,-,-,-,-,-,-,-,-,-,-,-
407021155,Naracoorte Surrounds,2016.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.7,0.5,5.5,0.3,4.4,2.2,4.9,3.2,3.2,-,0.5,0.7,3,1.3,2.5,4.7,6.4,0.8,1.1,2.5,1297,-,-,-,-,-,-,-,-,-,-,-,-
407021155,Naracoorte Surrounds,2017.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,1123,-,-,10,-,-,10,2,3,1143
407021155,Naracoorte Surrounds,2018.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,152500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1123,-,-,10,-,-,10,1,1,1143
407021155,Naracoorte Surrounds,2019.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,4,4,1,-,1,1,5,7,10,180000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1121,-,-,10,-,-,10,-,2,1141
407021155,Naracoorte Surrounds,2020.0,321,132,70,-,525,-,-,-,-,-,-,-,-,-,-,343,-,10,3,28,9,7,5,17,3,7,64,16,4,-,-,3,3,5,-,100,137,252,27,8,3,-,-,-,-,-,-,-,-,-,-,-,-,4,-,4,4,1,-,1,2,4,6,12,370000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,1123,-,-,10,-,-,10,4,2,1143
407021155,Naracoorte Surrounds,2021.0,324,142,66,4,536,24,12,3,-,37,24,-,3,-,27,348,-,11,3,28,10,6,8,17,3,7,67,16,3,-,-,3,-,6,-,106,132,263,25,9,3,11,9,16,3,-,-,10,12,7,-,-,-,7,-,7,7,2,-,2,2,2,4,14,260000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,355203.6,2254.9,110953.7,1000011.8,706.1,-,32546.8,364.7,32.7,219.8,102.2,78.5,53.1,0.6,5.7,0.2,4,2.4,4.9,2,2.8,-,0.3,0.3,2.6,1,2.3,5,6,0.3,1.7,3.6,1323,4,3,1124,-,-,10,-,-,10,4,3,1144
407021155,Naracoorte Surrounds,2022.0,333,152,60,3,545,31,8,3,-,40,20,5,3,3,27,354,-,12,-,24,11,5,3,16,-,4,78,14,3,-,-,3,3,11,-,101,132,273,27,7,-,14,14,11,-,-,-,11,14,4,-,-,-,8,-,8,8,4,-,4,4,6,10,17,252500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,2,1129,-,-,10,-,-,10,7,2,1149
